Daily measurement data supplied by UK-air on 21/05/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Auchencorth Moss",,"Bournemouth",,"Brighton Preston Park",,"Chilbolton Observatory",,"Inverness",,"London Marylebone Road",,"London N. Kensington",,"London Westminster",,"Northampton Kingsthorpe",,"Wrexham",
Latitude,55.792160,,50.739570,,50.840836,,51.149617,,57.481308,,51.522530,,51.521050,,51.494670,,52.271886,,53.042282,,
Longitude,-3.242900,,-1.826744,,-0.147572,,-1.438228,,-4.241451,,-0.154611,,-0.213419,,-0.131931,,-0.879898,,-3.002829,,
Site Type,Rural Background,,Urban Background,,Urban Background,,Rural Background,,Urban Traffic,,Urban Traffic,,Urban Background,,Urban Background,,Urban Background,,Urban Traffic,,
Zone,Central Scotland,,South West,,South East,,South East,,Highland,,Greater London,,Greater London,,Greater London,,East Midlands,,North Wales,,
Agglomeration,#N/A,,Bournemouth Urban Area,,Brighton/Worthing/Littlehampton,,#N/A,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,#N/A,,#N/A,,
Local Authority,"Midlothian",,"Bournemouth",,"Brighton",,"Test Valley",,"Highland",,"Westminster",,"Kensington",,"Westminster",,"Northampton",,"Wrexham",,
Date,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status
2016-01-01,2.886,V ugm-3 (GRAV EMFAB),5.353,V ugm-3 (GRAV EMFAB),8.858,V ugm-3 (GRAV EMFAB),,,5.708,V ugm-3 (GRAV EMFAB),8.958,V ugm-3 (GRAV EMFAB),11.125,V ugm-3 (GRAV EMFAB),8.797,V ugm-3 (GRAV EMFAB),6.667,V ugm-3 (GRAV EMFAB),7.469,V ugm-3 (GRAV EMFAB)
2016-01-02,1.12,V ugm-3 (GRAV EMFAB),4.883,V ugm-3 (GRAV EMFAB),7.025,V ugm-3 (GRAV EMFAB),,,6.208,V ugm-3 (GRAV EMFAB),5.649,V ugm-3 (GRAV EMFAB),3.958,V ugm-3 (GRAV EMFAB),3.875,V ugm-3 (GRAV EMFAB),1.667,V ugm-3 (GRAV EMFAB),9.627,V ugm-3 (GRAV EMFAB)
2016-01-03,0.56,V ugm-3 (GRAV EMFAB),5.397,V ugm-3 (GRAV EMFAB),8.317,V ugm-3 (GRAV EMFAB),,,1.375,V ugm-3 (GRAV EMFAB),6.833,V ugm-3 (GRAV EMFAB),6.083,V ugm-3 (GRAV EMFAB),4.833,V ugm-3 (GRAV EMFAB),3.333,V ugm-3 (GRAV EMFAB),6.1,V ugm-3 (GRAV EMFAB)
